"last_name, first_name",player_id,year,woba
"Hoerner, Nico",663538,2024,0.302
"Solano, Donovan",456781,2024,0.335
"Rosario, Amed",642708,2024,0.319
"Seager, Corey",608369,2024,0.363
"Hoskins, Rhys",656555,2024,0.308
"Pederson, Joc",592626,2024,0.402
"Lipscomb III, Trey",702358,2024,0.238
"Alvarez, Yordan",670541,2024,0.407
"Gordon, Nick",624503,2024,0.27
"Verdugo, Alex",657077,2024,0.286
"Hernández, Enrique",571771,2024,0.275
"Wisely, Brett",689172,2024,0.28
"Florial, Estevan",664314,2024,0.276
"Nootbaar, Lars",663457,2024,0.315
"Fortes, Nick",663743,2024,0.24
"Pages, Andy",681624,2024,0.3
"Fry, David",681807,2024,0.349
"Paredes, Isaac",670623,2024,0.331
"Bauers, Jake",641343,2024,0.303
"Bader, Harrison",664056,2024,0.292
"Ozuna, Marcell",542303,2024,0.402
"Brennan, Will",686823,2024,0.292
"Ramos, Heliot",671218,2024,0.35
"Kwan, Steven",680757,2024,0.35
"Olson, Matt",621566,2024,0.325
"Noda, Ryan",676116,2024,0.212
"Thaiss, Matt",642136,2024,0.32
"Mateo, Jorge",622761,2024,0.285
"Freeman, Freddie",518692,2024,0.369
"Wood, James",695578,2024,0.346
"Adames, Willy",642715,2024,0.347
"Machado, Manny",592518,2024,0.336
"Volpe, Anthony",683011,2024,0.3
"France, Ty",664034,2024,0.302
"Laureano, Ramón",657656,2024,0.314
"McCutchen, Andrew",457705,2024,0.331
"Pillar, Kevin",607680,2024,0.305
"Alonso, Pete",624413,2024,0.34
"Olivares, Edward",658668,2024,0.276
"Lowe, Josh",666139,2024,0.307
"Arenado, Nolan",571448,2024,0.313
"Narváez, Omar",553882,2024,0.171
"Gonzalez, Romy",663853,2024,0.325
"Smith, Dominic",642086,2024,0.307
"McNeil, Jeff",643446,2024,0.303
"Loperfido, Joey",694388,2024,0.279
"Smith, Josh",669701,2024,0.335
"Frelick, Sal",686217,2024,0.305
"Bruján, Vidal",660644,2024,0.278
"Palacios, Richie",680700,2024,0.308
"Massey, Michael",686681,2024,0.316
"Caballero, José",676609,2024,0.283
"Naylor, Bo",666310,2024,0.276
"Vázquez, Christian",543877,2024,0.261
"Pasquantino, Vinnie",686469,2024,0.324
"Bellinger, Cody",641355,2024,0.317
"Turner, Justin",457759,2024,0.319
"Moniak, Mickey",666160,2024,0.291
"Tucker, Kyle",663656,2024,0.413
"Naylor, Josh",647304,2024,0.336
"Davis, Henry",680779,2024,0.216
"Benintendi, Andrew",643217,2024,0.287
"Stott, Bryson",681082,2024,0.299
"Moreno, Gabriel",672515,2024,0.321
"Marte, Starling",516782,2024,0.317
"Burleson, Alec",676475,2024,0.334
"Duran, Ezequiel",677649,2024,0.261
